elapsed,temperature,pid,err,p,i,d
2620,59.563,20.328,0.632,0.316,20.012,-0.000
2630,59.596,20.329,0.610,0.305,20.024,-0.000
2640,59.629,20.329,0.586,0.293,20.036,-0.000
2650,59.662,20.328,0.561,0.280,20.047,-0.000
2660,59.694,20.326,0.535,0.268,20.058,-0.000
2670,59.727,20.323,0.509,0.255,20.068,-0.000
2680,59.759,20.319,0.482,0.241,20.078,-0.000
2690,59.791,20.314,0.455,0.228,20.087,-0.000
2700,59.822,20.309,0.427,0.214,20.095,-0.000
2710,59.853,20.303,0.399,0.200,20.103,-0.000
2720,59.884,20.296,0.371,0.185,20.111,-0.000
2730,59.913,20.289,0.343,0.171,20.118,-0.000
2740,59.942,20.281,0.314,0.157,20.124,-0.000
2750,59.970,20.272,0.286,0.143,20.130,-0.000
2760,59.997,20.263,0.257,0.129,20.135,-0.000
2770,60.024,20.254,0.229,0.115,20.139,-0.000
2780,60.049,20.244,0.201,0.101,20.143,-0.000
2790,60.074,20.234,0.174,0.087,20.147,-0.000
2800,60.097,20.223,0.147,0.073,20.150,-0.000
2810,60.119,20.212,0.120,0.060,20.152,-0.000
2820,60.140,20.201,0.094,0.047,20.154,-0.000
2830,60.161,20.190,0.069,0.034,20.155,-0.000
2840,60.180,20.178,0.044,0.022,20.156,-0.000
2850,60.197,20.166,0.020,0.010,20.157,-0.000
2860,60.214,20.155,-0.004,-0.002,20.157,-0.000
2870,60.229,20.143,-0.026,-0.013,20.156,-0.000
2880,60.244,20.131,-0.048,-0.024,20.155,-0.000
2890,60.257,20.119,-0.069,-0.034,20.154,-0.000
2900,60.269,20.107,-0.089,-0.044,20.152,-0.000
2910,60.280,20.096,-0.108,-0.054,20.150,-0.000
2920,60.289,20.084,-0.126,-0.063,20.147,-0.000
2930,60.298,20.073,-0.143,-0.072,20.144,-0.000
2940,60.305,20.061,-0.159,-0.080,20.141,-0.000
2950,60.311,20.050,-0.175,-0.087,20.138,-0.000
2960,60.316,20.040,-0.189,-0.094,20.134,-0.000
2970,60.320,20.029,-0.202,-0.101,20.130,-0.000
2980,60.323,20.019,-0.214,-0.107,20.126,-0.000
2990,60.325,20.009,-0.225,-0.112,20.121,-0.000
